"3726","2/8/2019 04:24:44.347073+00","Modelo pftl39715.1 serie MM900C0118403 armado se deja funcionando OK se cobró 750 de armado OK","1817","52"
"3725","1/8/2019 19:45:19.042362+00","Se realizó el 31-07-19. Sin pendientes. Serie: K211C0402169. Versión: 4.","1812","37"
"3724","1/8/2019 18:24:17.079707+00","se programa entrega de piezas para mañana en horario abierto / llamar 1 hora antes ","1619","11"
"3723","1/8/2019 17:24:22.691375+00"," confirmado con cliente para viernes  / llamar 1 hora antes  / sin cargo ","1798","11"
"3722","1/8/2019 03:47:53.92621+00","Se entrega tortillería se deja con la mamá de la clienta","1679","52"
"3721","31/7/2019 23:05:36.516119+00","CLIENTE ESTARÁ PASANDO EL DÍA DE MAÑANA POR SU PIEZA / NO TIENE COSTO ES BAJO GARANTÍA","1705","11"
"3720","31/7/2019 22:55:29.902188+00","LA PIEZA ESTARÁ SIENDO ENVIADA EL DÍA DE MAÑANA ","1633","11"
"3719","31/7/2019 22:47:32.700376+00","LA PIEZA YA FUE SOLICITADA NUEVAMENTE A EUGENIO , YA QUE FABRICANTE APENAS ENVIO LO SOLICITADO","1623","11"
"3718","31/7/2019 22:39:26.757567+00","cliente ya depositó a cuenta de BANCOMER / SALVADOR GARNICA TRUJANO ","1619","11"
"3717","31/7/2019 22:31:33.047367+00","Venta de refacciones $420 +135 de envío  / las piezas estarán siendo enviadas ","1619","11"
"3716","31/7/2019 22:22:51.165098+00","SERVICIO CONFIRMADO CON CLIENTE PARA LUNES EN HORARIO ABIERTO ","1628","11"
"3715","31/7/2019 22:13:24.124931+00","NATHANAEL TENEMOS ALGUNA RESPUESTA?","1616","11"
"3714","31/7/2019 22:11:44.328902+00","SE REALIZO EL REEMBOLSO DE EL PRODUCTO / SERVICIO CONCLUIDO ","1613","11"
"3713","31/7/2019 22:08:55.189129+00","LAS PIEZAS YA FUERON ENTREGADAS A CLIENTE / SERVICIO QUEDA CONCLUIDO","1523","11"
"3712","31/7/2019 22:03:37.419909+00","mar., 30 jul. 18:52 (hace 22 horas)
para mí

Hoy vino el técnico a colocar la pieza. Ya quedó el trabajo. 
Me pidió el técnico les avisara.
","1604","11"
"3711","31/7/2019 22:00:25.69112+00","seguimos en espera de respuesta. ","1599","11"
"3710","31/7/2019 21:58:00.43002+00","andrea comenta que cliente ya no le respondio ","1601","11"
"3709","31/7/2019 21:55:28.569534+00","se mando correo a cliente ","1523","11"
"3708","31/7/2019 21:53:11.133247+00","ya llego la pieza/","1523","11"
"3707","31/7/2019 21:48:49.619733+00","espero respuesta de fabricante ","1477","11"
"3706","31/7/2019 21:32:35.654095+00","piezas solicitadas / quedamos pendientes ","1493","11"
"3705","31/7/2019 21:20:44.981027+00","la pieza ya fue enviada y recibida por técnico , quedamos pendientes a su reporte","1500","11"
"3704","31/7/2019 21:15:43.849419+00","Cliente reparo equipo","1432","11"
"3703","31/7/2019 21:07:34.5823+00","LA PIEZA YA FUE ENVIADA , QUEDAMOS PENDIENTES A REPORTE DE GABRIEL ","1240","11"
"3702","31/7/2019 21:06:47.988615+00","SE REGRESO EQUIPO","926","11"
"3701","31/7/2019 21:03:58.283795+00","cliente no contesto","719","11"
"3700","31/7/2019 21:01:54.409966+00","piezas solicitadas","652","11"
"3699","31/7/2019 20:41:44.849161+00","seguimiento con tecnoservicio , orden concluida","510","11"
"3698","31/7/2019 19:17:25.712183+00","seguimiento con tecnoservicio , orden concluida","510","11"
"3697","31/7/2019 18:58:32.358805+00","concluido","488","11"
"3696","31/7/2019 18:55:20.638098+00","se reemplaza tarjeta controladora , servicio concluido","461","11"
"3695","31/7/2019 18:47:44.85272+00","Del servicio 10558 a nombre de MARIA LETICIA VILLA, técnico se comunico con el cliente para poder agendar la visita, pero comenta que el no requiere un equipo reparado y lo regreso a Tienda directamente 
","459","11"
"3694","31/7/2019 18:45:13.738429+00","orden cerrada , se realizo reembolso ","428","11"
"3693","31/7/2019 18:43:33.340773+00","Del servicio 10533 a nombre de CENTENO VÁZQUEZ LUIS ROBERTO, se realizo la visita al equipo no le hace falta ninguna pieza, solo esta mal armado se le comenta al cliente del cargo pero no acepto 
","434","11"
"3692","31/7/2019 18:41:35.060335+00","cliente regresa equipo a tienda ","448","11"
"3691","31/7/2019 15:40:03.030177+00","servicio concluido /","1703","11"
"3690","31/7/2019 15:36:29.705274+00","cliente comenta que en tienda le realizaron la devolución. orden cerrada","1484","11"
"3689","31/7/2019 05:19:40.258999+00","Cambio de maza pendiente banda esta dañada cambiar banda ","1799","52"
"3688","31/7/2019 00:42:02.197895+00","No sé arma equipo, el equipo se tenía que subir un piso, se le aviso a clara y me dijo que no se hacía o que si se subia el cliente tendría que pagar un cargo extra aparte del armado, se le informo a cliente y se enojó, ya que pensó que yo era el que le quería cobrar más y que de por si, no quería pagar el costo del armado, ya que se le hacía muy caro, como no encontró alguien que le subiera el equipo mejor me retiré del domicilio, no se arma nada, ya que cliente me dijo que era un mañoso porque le quería cobrar más por subirlo ","1813","63"
"3687","31/7/2019 00:39:42.40644+00","No sé arma equipo, el equipo se tenía que subir un piso, se le aviso a clara y me dijo que no se hacía o que si se subia, el cliente tiene que pagar un cargo extra del armado, se le informo a cliente y se enojó ya que pensó que yo era el que le quería contar más, que de por si no quería pagar el costo del armado, ya que se le hacía muy caro, como no encontró alguien que le subiera el equipo mejor me retiré del domicilio, no se arma nada, ya que cliente me dijo que era un mañoso porque le quería cobrar más por subirlo ","1813","63"
"3686","30/7/2019 23:39:23.570918+00","Ya se comento a  cliente que puede venir a recoger su pieza o bien se puede realizar envío pero sería con cargo.","1705","11"
"3685","30/7/2019 23:34:16.721142+00","SERVICIO CONCLUIDO / PENDIENTE EN PAGO ","1706","11"
"3684","30/7/2019 23:27:28.839421+00","SERVICIO CONCLUIDO Y PAGADO ","1729","11"
"3683","30/7/2019 23:25:10.852915+00","YA SE MANDO CORREO A CLIENTE 
PARA SABER QUE DÍA PUEDE PASAR X LA PIEZA","1733","11"
"3682","30/7/2019 22:55:31.623942+00","PIEZA SOLICITADA A FABRICANTE ","1738","11"
"3681","30/7/2019 22:54:23.880557+00","Recibo $3920.00","1801","12"
"3680","30/7/2019 22:13:14.787246+00","no obtuvimos respuesta de cliente , se intento llamar en repetidas ocasiones pero no tuvimos éxito. ","1749","11"
"3679","30/7/2019 22:04:47.663423+00","cliente comenta que regresará la llamada ","1751","11"
"3678","30/7/2019 21:58:05.208753+00","CONCLUIDO Y PAGADO ","1752","11"
"3677","30/7/2019 21:39:44.523394+00","CLIENTE REGRESA LA LLAMADA E INDICA QUE AHORITA NO CUENTA CON EL DINERO PERO ELLA ESTARÁ REGRESANDO LA LLAMADA ","1753","11"
"3676","30/7/2019 21:29:44.241569+00","SE LLAMA A CLIENTE PERO MANDA  A BUZÓN SE ESTARÁ INTENTANDO MÁS TARDE ","1753","11"
"3675","30/7/2019 21:25:11.586498+00","SERVICIO CONCLUIDO ","1755","11"
"3674","30/7/2019 21:24:29.633585+00","CONCLUIDO Y PAGADO ","1760","11"
"3673","30/7/2019 21:08:29.156523+00","SOLO CONTAMOS CON LA TARJETA CONTROLADORA LOS CABLES NO LOS TENEMOS EN EXISTENCIA ","1764","11"
"3672","30/7/2019 20:51:55.179097+00","CONCLUIDO Y PAGADO ","1770","11"
"3671","30/7/2019 20:49:35.755058+00","CONCLUIDO ","1775","11"
"3670","30/7/2019 20:49:14.869981+00","CONCLUIDO Y PAGADO ","1776","11"
"3669","30/7/2019 20:48:14.173412+00","CONCLUIDO Y PAGADO ","1777","11"
"3668","30/7/2019 20:47:14.627441+00","ISAU , POR FAVOR DE COMPARTIR REPORTE DE ESTE SERVICIO ","1784","11"
"3667","30/7/2019 20:41:56.540677+00","quedo pendiente a reporte de técnico  e importe ","1785","11"
"3666","30/7/2019 20:39:33.730335+00","técnico comparte comprobante de deposito / servicio concluido y pagado ","1791","11"
"3665","30/7/2019 20:38:23.006123+00","concluido y pagado ","1793","11"
"3664","30/7/2019 20:29:50.300217+00","PIEZA SOLICITADA A FABRICANTE ","1794","11"
"3663","30/7/2019 20:27:00.395881+00","LAS PIEZAS YA LE LLEGARON A TÉCNICO , QUEDAMOS ENDIENTES A REPORTE ","1796","11"
"3662","30/7/2019 19:18:38.607165+00","LAS PIEZAS ESTARAN  SIENDO ENVIADAS ","1811","11"
"3661","30/7/2019 18:43:06.312653+00","entrega para mañana","1679","11"
"3660","30/7/2019 18:27:43.276912+00","reparación /confirmado con cliente para jueves / llamar 1 hora antes ","1697","11"
"3659","30/7/2019 18:25:36.166714+00","servicio confirmado con cliente para jueves 1 de agosto / quedamos pendientes ","1798","11"
"3658","30/7/2019 18:18:26.928335+00","SE PROGRAMO LA REPARACIÓN A EL EQUIPO / EL DÍA LUNES 29 DE JULIO / ESTAMOS EN ESPERA DE REPORTE DE TÉCNICO ","1799","11"
"3657","30/7/2019 17:24:53.737001+00","importe fue entregado a maya","1801","11"
